"package","firstDownload","lastDownload","totalDownloads"
"APSIMBatch","2012-11-01","2016-10-02",12178
"apsimr","2015-10-12","2016-10-02",3266
"apsrtable","2012-10-10","2016-10-02",21724
"apt","2016-02-25","2016-10-02",3603
"APtools","2016-08-05","2016-10-02",392
"apTreeshape","2012-11-10","2016-10-02",18925
"aqfig","2013-11-10","2016-10-02",11879
"aqp","2016-07-08","2016-10-02",4175
"aqr","2014-03-01","2016-10-02",8840
"AquaEnv","2016-09-06","2016-10-02",434
"AR1seg","2014-06-06","2016-10-02",7998
"arabicStemR","2016-06-04","2016-10-02",701
"ArArRedux","2015-08-26","2016-10-02",3784
"arc","2016-09-07","2016-10-02",169
"ARCensReg","2016-09-11","2016-10-02",195
"archdata","2016-04-05","2016-10-02",8017
"archetypes","2014-04-10","2016-10-02",12222
"archiDART","2016-03-08","2016-10-02",1566
"archivist","2016-07-27","2016-10-02",4670
"archivist.github","2016-08-30","2016-10-02",301
"ArDec","2013-05-11","2016-10-02",17045
"arf3DS4","2014-02-21","2016-10-02",9224
"arfima","2015-12-31","2016-10-02",4489
"ArfimaMLM","2015-01-21","2016-10-02",6185
"argosfilter","2012-11-01","2016-10-02",14981
"argparse","2014-04-05","2016-10-02",18789
"argparser","2016-04-04","2016-10-02",2101
"ArgumentCheck","2016-04-01","2016-10-02",2070
"arm","2016-08-24","2016-10-02",28650
"arnie","2014-06-16","2016-10-02",6552
"aroma.affymetrix","2016-01-10","2016-10-02",6684
"aroma.apd","2015-02-25","2016-10-02",12007
"aroma.cn","2015-10-28","2016-10-02",3559
"aroma.core","2016-01-06","2016-10-02",7295
"ARPobservation","2015-02-11","2016-10-02",6257
"aRpsDCA","2016-04-05","2016-10-02",1454
"arrApply","2016-02-16","2016-10-02",1544
"ArrayBin","2013-06-21","2016-10-02",11259
"arrayhelpers","2016-05-28","2016-10-02",1243
"ars","2014-12-05","2016-10-02",7783
"ART","2015-08-13","2016-10-02",3855
"artfima","2016-07-14","2016-10-02",624
"ARTIVA","2015-05-20","2016-10-02",4960
"ARTool","2016-03-29","2016-10-02",2788
"ARTP","2014-02-20","2016-10-02",9268
"ARTP2","2016-07-11","2016-10-02",821
"arules","2016-10-02","2016-10-02",318
"arulesCBA","2016-09-26","2016-10-02",87
"arulesNBMiner","2015-07-02","2016-10-02",6241
"arulesSequences","2016-08-01","2016-10-02",1473
"arulesViz",NA,"2016-10-02",0
"aRxiv","2015-05-27","2016-10-02",7062
"as.color","2016-06-20","2016-10-02",526
"asaur","2016-04-12","2016-10-02",1272
"asbio","2016-07-20","2016-10-02",3053
"ascii","2012-10-06","2016-10-02",32047
"asd","2016-05-23","2016-10-02",1431
"asdreader","2016-03-03","2016-10-02",1498
"ash","2015-09-01","2016-10-02",25831
"asht","2016-05-11","2016-10-02",1037
"AsioHeaders","2016-01-07","2016-10-02",3021
"ASMap","2016-06-24","2016-10-02",1263
"asnipe","2016-09-13","2016-10-02",219
"aspace","2012-10-06","2016-10-02",23740
"ASPBay","2015-01-14","2016-10-02",6385
"aspect","2015-07-24","2016-10-02",4257
"aspi","2016-09-21","2016-10-02",76
"aSPU","2016-09-22","2016-10-02",176
"asremlPlus","2016-09-16","2016-10-02",294
"assertive","2016-05-10","2016-10-02",3865
"assertive.base","2016-05-08","2016-10-02",4944
"assertive.code","2015-10-06","2016-10-02",7547
"assertive.data","2015-10-06","2016-10-02",7591
"assertive.data.uk","2015-10-06","2016-10-02",7566
"assertive.data.us","2015-10-06","2016-10-02",7583
"assertive.datetimes","2016-05-10","2016-10-02",3796
"assertive.files","2016-05-10","2016-10-02",4260
"assertive.matrices","2015-10-06","2016-10-02",7520
"assertive.models","2015-10-06","2016-10-02",7570
"assertive.numbers","2016-05-09","2016-10-02",4346
"assertive.properties","2016-05-09","2016-10-02",4402
"assertive.reflection","2016-03-29","2016-10-02",5219
"assertive.sets","2016-03-02","2016-10-02",5096
"assertive.strings","2016-05-10","2016-10-02",4247
"assertive.types","2016-03-07","2016-10-02",5427
"assertr","2016-08-02","2016-10-02",798
"assertthat","2013-12-06","2016-10-02",1368205
"AssetPricing","2014-06-13","2016-10-02",8894
"assist","2015-02-24","2016-10-02",6867
"ASSISTant","2016-05-03","2016-10-02",1097
"AssocTests","2015-08-08","2016-10-02",3913
"assortnet","2016-01-18","2016-10-02",1878
"AssotesteR","2013-12-19","2016-10-02",10211
"aster","2015-07-17","2016-10-02",5854
"aster2","2015-05-11","2016-10-02",5256
"astro","2014-09-08","2016-10-02",8064
"astrochron","2016-09-05","2016-10-02",353
"astrodatR","2014-08-13","2016-10-02",6858
"astroFns","2012-10-10","2016-10-02",11091
"astrolibR","2014-08-09","2016-10-02",6675
"astsa","2016-09-28","2016-10-02",956
"asVPC","2015-05-08","2016-10-02",4087
"asymLD","2016-01-30","2016-10-02",1581
"asymmetry","2016-09-19","2016-10-02",155
"asympTest","2012-10-10","2016-10-02",11609
"AsynchLong","2016-01-23","2016-10-02",2110
"asypow","2015-06-26","2016-10-02",4960
"ATE","2015-02-18","2016-10-02",5730
"AtelieR","2013-09-22","2016-10-02",14729
"atmcmc","2014-09-30","2016-10-02",6159
"ATmet","2014-04-18","2016-10-02",8555
"AtmRay","2013-03-01","2016-10-02",11362
"aTSA","2015-07-09","2016-10-02",3813
"atsd","2015-03-17","2016-10-02",4550
"attribrisk","2014-11-19","2016-10-02",6132
"AUC","2013-09-30","2016-10-02",35649
"aucm","2016-01-02","2016-10-02",1874
"AUCRF","2012-10-06","2016-10-02",14266
"audio","2013-12-23","2016-10-02",25487
"audiolyzR","2013-02-18","2016-10-02",10646
"audit","2012-11-01","2016-10-02",10707
"auRoc","2015-12-22","2016-10-02",2060
"AUtests","2016-06-13","2016-10-02",984
"autoencoder","2015-07-02","2016-10-02",5368
"autoimage","2016-08-22","2016-10-02",304
"automap","2013-08-29","2016-10-02",50877
"AutoModel","2015-08-24","2016-10-02",3277
"autopls","2015-02-24","2016-10-02",6293
"AutoregressionMDE","2015-09-14","2016-10-02",2779
"AutoSEARCH","2015-03-27","2016-10-02",6748
"autoSEM","2016-05-22","2016-10-02",743
"autovarCore","2015-07-01","2016-10-02",5050
"averisk","2016-06-20","2016-10-02",742
"aws","2016-09-15","2016-10-02",315
"aws.alexa","2016-06-03","2016-10-02",690
"aws.signature","2016-08-09","2016-10-02",1919
"awsMethods","2016-09-14","2016-10-02",691
"aylmer","2013-12-10","2016-10-02",12208
"AzureML","2016-08-21","2016-10-02",801
"B2Z","2012-10-06","2016-10-02",12667
"b6e6rl","2013-06-27","2016-10-02",9194
"babar","2015-02-25","2016-10-02",5139
"babel","2016-06-23","2016-10-02",953
"BaBooN","2015-06-15","2016-10-02",12901
"babynames","2016-02-21","2016-10-02",7770
"BACA","2015-05-27","2016-10-02",4494
"BacArena","2016-07-25","2016-10-02",530
"BACCO","2013-12-12","2016-10-02",14043
"BACCT","2016-06-26","2016-10-02",551
"backblazer","2016-01-31","2016-10-02",1655
"backpipe","2015-10-21","2016-10-02",2632
"backports","2016-06-28","2016-10-02",16185
"backShift","2015-10-13","2016-10-02",2967
"backtest","2015-09-17","2016-10-02",6777
"backtestGraphics","2015-10-21","2016-10-02",2982
"BACprior","2014-11-20","2016-10-02",7061
"bacr","2015-08-07","2016-10-02",3261
"badgecreatr","2016-07-03","2016-10-02",483
"BAEssd","2012-11-19","2016-10-02",11053
"Bagidis","2015-06-26","2016-10-02",3628
"bagRboostR","2014-03-05","2016-10-02",8811
"BalanceCheck","2016-09-16","2016-10-02",101
"BalancedSampling","2016-07-04","2016-10-02",902
"BaM","2016-05-18","2016-10-02",1745
"bamdit","2016-08-23","2016-10-02",448
"BAMMtools","2016-06-10","2016-10-02",2010
"bandit","2014-05-06","2016-10-02",9084
"BANFF","2016-07-13","2016-10-02",678
"BANOVA","2016-08-25","2016-10-02",371
"banxicoR","2016-08-18","2016-10-02",286
"bapred","2016-06-03","2016-10-02",827
"BaPreStoPro","2016-06-07","2016-10-02",615
"barcode","2012-10-06","2016-10-02",19380
"BarcodingR","2016-07-19","2016-10-02",371
"Barnard","2015-10-20","2016-10-02",3228
"bartMachine","2016-05-12","2016-10-02",2955
"bartMachineJARs","2016-02-27","2016-10-02",4079
"Barycenter","2016-09-21","2016-10-02",70
"BAS","2016-09-20","2016-10-02",408
"base64","2016-05-10","2016-10-02",24923
"base64enc","2015-07-28","2016-10-02",778650
"basefun","2016-09-13","2016-10-02",215
"baseline","2015-07-05","2016-10-02",6846
"basicspace","2016-07-29","2016-10-02",622
"BASIX","2013-10-24","2016-10-02",9609
"BaSTA","2015-11-08","2016-10-02",3962
"bastah","2016-06-03","2016-10-02",720
"BAT","2016-09-15","2016-10-02",220
"batade","2012-11-01","2016-10-02",10545
"batch","2013-06-05","2016-10-02",13517
"BatchExperiments","2015-03-18","2016-10-02",8208
"BatchJobs","2015-03-18","2016-10-02",42915
"batchmeans","2016-07-04","2016-10-02",1674
"batman","2015-10-27","2016-10-02",2510
"batteryreduction","2015-12-23","2016-10-02",2022
"BayClone2","2014-12-24","2016-10-02",5524
"bayesAB","2016-09-13","2016-10-02",175
"BayesBD","2016-08-30","2016-10-02",305
"BayesBinMix","2016-09-10","2016-10-02",210
"bayesbio","2016-05-24","2016-10-02",702
"bayesboot","2016-04-06","2016-10-02",1281
"BayesBridge","2015-02-14","2016-10-02",6938
"BayesComm","2015-07-23","2016-10-02",4016
"bayescount","2015-04-20","2016-10-02",5936
"BayesCR","2015-01-31","2016-10-02",5711
"BayesDA","2012-10-06","2016-10-02",15412
"bayesDccGarch","2016-02-07","2016-10-02",2010
"bayesDem","2016-03-20","2016-10-02",1575
"BayesFactor","2015-09-19","2016-10-02",11172
"bayesGARCH","2015-12-15","2016-10-02",5097
"bayesGDS","2016-03-16","2016-10-02",1071
"BayesGESM","2015-06-06","2016-10-02",4417
"BayesH","2016-04-05","2016-10-02",1006
"BayesianAnimalTracker","2014-12-07","2016-10-02",6686
"Bayesianbetareg","2014-07-03","2016-10-02",8380
"BayesianNetwork","2016-07-21","2016-10-02",452
"BayesLCA","2015-04-10","2016-10-02",7019
"bayesLife","2015-12-05","2016-10-02",3269
"BayesLogit","2014-07-21","2016-10-02",11072
"bayesm","2015-06-20","2016-10-02",33210
"BayesMAMS","2015-11-06","2016-10-02",2497
"bayesMCClust","2012-10-06","2016-10-02",12433
"BayesMed","2015-02-05","2016-10-02",6417
"bayesmeta","2016-07-03","2016-10-02",773
"bayesmix","2015-07-01","2016-10-02",7488
"BayesMixSurv","2016-09-08","2016-10-02",242
"BayesNI","2012-10-10","2016-10-02",10868
"BayesPiecewiseICAR","2016-08-21","2016-10-02",296
"bayesPop","2016-01-29","2016-10-02",2487
"bayespref","2012-11-01","2016-10-02",11120
"bayesQR","2014-04-18","2016-10-02",10829
"bayess","2013-02-09","2016-10-02",11327
"BayesSAE","2013-10-28","2016-10-02",9533
"BayesSingleSub","2014-01-22","2016-10-02",9709
"BayesSummaryStatLM","2015-03-03","2016-10-02",5965
"bayesSurv","2015-07-28","2016-10-02",6330
"bayesTFR","2016-06-10","2016-10-02",1169
"Bayesthresh","2013-03-28","2016-10-02",13146
"BayesTree","2016-07-06","2016-10-02",2188
"BayesTreePrior","2016-07-04","2016-10-02",587
"BayesValidate","2012-10-10","2016-10-02",14746
"BayesVarSel","2016-03-02","2016-10-02",1933
"BayesX","2014-08-18","2016-10-02",31427
"BayesXsrc","2013-11-22","2016-10-02",11790
"BayHap","2013-03-13","2016-10-02",11304
"BayHaz","2012-11-01","2016-10-02",15482
"BaylorEdPsych","2012-10-10","2016-10-02",46334
